"id","text","category","theme","executor"
"243","Ул островского дом 46 второй подьезд. В двух подъездах сделали ремонт. На наш подъезд говорят нет денег. За что мы тогда платим. Подъезд в ужасном состоянии. Висят провода.  Мало того никто не убирает подъезд. От такой мусора уже по всему дому завелись тараканы. С детьми уже страшно находиться.","Многоквартирные дома","Предоставление коммунальных услуг ненадлежащего качества","Управление энергетики и жилищно-коммунального хозяйства"
"244","В наше доме не исправная вентиляция. Проблема заключается в том что она работает на приток воздуха и из-за этого в квартире стоит эффект сауны (духота). В некоторых квартирах плесень образуется от сырости. Летом еще более менее открытые окна настеж спасают а зимой так уже квартиру непроветриишь (холодно). На собрании с управляющей компанией ООО «УК на Маяковского» этот вопрос подымали. В итоге УК ответила что мол по документам застройщика вентиляция правильно сконструирована и ни чего с ней делать не собираются. Я считаю что нужно на крыше воздухозаборник либо отрегулировать определенным образом либо конструкцию перестроить.","Многоквартирные дома","Предоставление коммунальных услуг ненадлежащего качества","Управление энергетики и жилищно-коммунального хозяйства"
"245","Многие мамы приводят в парк детишек в колясках, многие приходят с двумя-тремя ребятишками. В связи с этим возникает острая необходимость в организации санкционированного пешеходного перехода там, где дорожки парка подходят к проезжей части.","Дороги","Повреждение или отсутствие дорожных знаков или дорожной разметки","Управление благоустройства города"
"246","Два месяца назад по ул. Мервинская (100 м и 200 м от автовокзала) в двух местах упали большие деревья. Никто их не убирает. Они портят вид. Вокруг них скапливается мусор.","Дворовая территория","Ненадлежащий уход за зелеными насаждениями","Управление благоустройства города"
"247","Уже сообщал вам. Повторюсь. После хорошего ремонта ул. Мервинской (от автовокзала и дальше) подрядчики не выполнили, а заказчики (администрация города) не потребовали окончания работ около дороги. Так, около бордюров остались не засыпанные землей ямы, прилегающие к дороге газоны не выравнены.","Дороги","Повреждение или отсутствие ограждения автодорог","Управление благоустройства города"
"248","По удресу ул. Зубковой дом 10Б подъезд 2 между первым и вторым этажом нагажено людьми (большая куча). Всё это лежит с 8 августа. Кто-то прикрыл коробкой, а сегодня еще и цветами. Просим убрать наш подъезд.","Многоквартирные дома","Предоставление коммунальных услуг ненадлежащего качества","Управление энергетики и жилищно-коммунального хозяйства"
"249","Здравствуйте.
На участке дороги от Приокского и до Пителинского р-на асфальтовое покрытие находиться в ужасном состоянии. В этом году дыры в асфальте не заделывали. Есть участок дороги где асфальт пошел волной и это на повороте где выезжая из за поворота его не заметишь. Если не отремонтировать дорожное покрытие в этом году то после зимы там не возможно будет проехать. Если не будут предприняты меры в ближайшее время буду писать в приемную президента.","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"251","На улице Вишневая, в 4 м от газораспределительной станции, в 12 м от многоэтажного жилого дома №19, образовалась несанкционированная свалка старых спиленных деревьев, а также мусора. Жители прилегающих частных домов сюда тащут весь хлам и мусор. Деревья сухие...","Городская территория","Неубранная территория (мусор/снег)","Управление благоустройства города"
"252","Возле торца дома №92  (со стороны первого подъезда) по улице Стройкова необходимо спилить 5 тополей высотой более 20 метров: два тополя растут на расстоянии менее 5 метров от дома, три тополя представляют угрозу повреждения газопровода, открытой теплотрассы и воздушной линии электропередач. Все деревья ветхие и значительно выше домов на данной территории, из-за чего при порывистом ветре регулярно обламываются ветви (под деревьями постоянно гуляют дети).  Также, из-за большой высоты, деревья стали плацдармом для стай ворон, который вечерами прилетают  с городской свалки и доставляют очевидный дискомфорт жителям.  К тому же, из-за деревьев, растущих вплотную к дому, стало невозможным открыть окно - огромное количество тли.
Спасибо.","Дворовая территория","Ненадлежащий уход за зелеными насаждениями","Управление благоустройства города"
"253","Ямы больших размеров на ул. Тимакова на участке от ул. Новосёлов до ул. Большой (чётная сторона улицы) и на участке от ул. Новосёлов до Роддома №1 мимо школ №63 и школьного стадиона (нечётная сторона улицы), а напротив Стоматологической поликлиники №4 образовывается провал. Фото нет.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"254","По адресу город Рязань улица Шереметьевская дом 6 корпус 1 и корпус 2, более 6ти месяцев полностью отсутствует освещение придомовой территории этих двух домов.","Многоквартирные дома","Предоставление коммунальных услуг ненадлежащего качества","Управление энергетики и жилищно-коммунального хозяйства"
"258","От дома 22 по Михайловское шоссе и до конца дороги (до развилки с дорогой на Барс) нет ни одного фонаря. Вечером люди ходят в полной темноте. Освещение есть только на проезжей части, но с учётом некачественного освещения(суд с подрядчиком будет только 27.09) дорого и проезжая освещена недостаточно. Просьба рассмотреть возможность установки светильников. Конкретные места может показать совместно с жителями","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"259","У дома михайловское шоссе 80 к 3 есть контейнера площадка. На ней установлено 3 бака для мусора. Чтобы подъехать к ней мусоровоз проезжает весь двор волоса за собой запах, летом остатки пищи и бахчевых культур. В то же время со стороны улице Московская также есть площадка с двумя баками и ш покой площадкой, где могут встать три и даже 4 бака. При этом подъезд для мусоровоз идеальный. За перенос выступают все жители. Просьба рассмотреть возможность. Спасибо","Дворовая территория","Ямы и выбоины во дворах","Управление энергетики и жилищно-коммунального хозяйства"
"303","Уважаемый, !

     Обращаются к Вам жильцы квартала, расположенного межу улицами Соборной, Сенной, Семинарской с двумя наболевшими проблемами, которые мы не можем решить самостоятельно.
1 проблема
     По сквозному проезду, проходящему от ул. Семинарской до ул. Соборной и находящейся в дворовой территории в жилой зоне (знак отсутствует), происходит круглосуточное интенсивное двухстороннее движение автотранспорта (в т. ч. грузового), зачастую с превышением допустимой скорости (в соответствии с пунктом 10.2 ПДД максимальная скорость движения в жилой зоне или на дворовой территории составляет 20 км/ч). По всей вышеуказанной территории отсутствует бордюр (за исключением дома № 15 корп.1, № 15 корп.2), в связи с этим пешеходам приходится идти фактически по проезжей части. Это создает опасность для пешеходов - в основном детей школьного возраста, передвигающихся без сопровождения взрослых, а также является нарушением 17.2 ПДД и п. 2.5 СанПиН 2.1.2.2645-10. Малая ширина этой дороги не позволяет разъехаться встречным машинам, нередко это приводит к возникновению пробок и шумных споров между водителями о том, кто должен кого пропускать. Этот шум беспокоит жильцов окружающих домов.
     Следует также отметить, что, наши дома по ул. Семинарской № 15 корп.1, № 15 корп.2, № 17, № 17 корп.3, № 19 корп.1-3, ул. Сенная д.12 корп.2, корп.3, ул. Соборная д.50 корп.1 расположены вблизи с Государственным Рязанским приборным заводом, Рязанским высшим воздушно-десантным командным училищем им. В.Ф. Маргелова, Академией права и управления ФСИН России, РГУ им. Есенина (юридический факультет), Главным Управлением МЧС России по Рязанской области, Рязанским ПАО «Банк УралСиб», а также с офисными помещениями.  Парковка на улицах Семинарской (начиная от ул. Соборной до ул. Каширина), ул. Кольцова, ул. Сенной является платной и в целях экономии денежных средств, для водителей указанных организаций, наши дворы становится очень притягательным для бесплатной стоянки. Часто машины ставят так, что невозможно с улицы проехать во двор или выехать из него, заезжая в свой двор, мы не имеем возможности поставить свое транспортное средство – он заполнен посторонними машинами. На указанном проезде бывает машины стоят так, что пешеходу не пройти, а тем более с детской коляской.
     Кроме того, вышеуказанный проезд был отремонтирован в 2010г. за счет средств жильцов близлежащих домов. К 2016г. асфальтовое покрытие, на данном участке дороги, пришло в негодность. Мы обращались в Администрацию города Рязани с просьбой о ремонте дороги и организации пешеходной зоны с установкой бордюров. В ответ на наше обращение, комиссия обещала включить указанный проезд в программу капитального ремонта дороги. Однако в июле 2018г. был произведен только ямочный ремонт (без организации пешеходной зоны), который не спасет ситуацию и из-за интенсивного движения приведет к преждевременному износу покрытия дороги.
Для решения этой проблемы просим:
1. Установить бордюры вдоль этой дороги, исключающие их переезд автомобилями;
2. На границах дворовой территории поставить автодорожные знаки «Жилая зона»;
3. Ограничить сквозной проезд по дороге, проходящей от ул. Семинарской до ул. Соборной.

Жильцы домов по ул. Семинарской № 15 корп.1, № 15 корп.2, № 17, № 17 корп.3, № 19 корп.1-3, ул. Сенная д.12 корп.2, корп.3, ул. Соборная д.50 корп.1","Дворовая территория","Проблемы свободного проезда и прохода для транспорта и пешеходов","Управление благоустройства города"
"304","Уважаемый, !

     Обращаются к Вам жильцы квартала, расположенного межу улицами Соборной, Сенной, Семинарской с двумя наболевшими проблемами, которые мы не можем решить самостоятельно.
2 проблема
     По адресу улица Семинарская д.13 «А», д.13 «Б», д.13 «В», д.13 «Г» располагались жилые дома (деревянные бараки). Летом 2016г. все дома, кроме д.13 «Г» были расселены и снесены. В настоящее время на их месте образовалась свалка мусора (о чем широко обсуждалось в СМИ) и парковка автомобилей. Дом 13 «Г» был расселён в мае 2017г., но в настоящее время там проживают лица без определенного места жительства (также замечены иностранные граждане ближнего зарубежья). Весной 2018г. на территории этого дома было возгорание. Мы не можем утверждать, есть ли коммуникации (газ, вода, свет) в этом доме, но по вечерам горит свет в разбитых окнах. Дом не обслуживается коммунальными службами, в связи с чем двор не убирается, завален сухими ветками и мусором. И все это находится в центре города и граничит с Главным Управлением МЧС России по Рязанской области.
     Для решения этой проблемы просим разобраться и навести порядок на этой территории.

Жильцы домов по ул. Семинарской № 15 корп.1, № 15 корп.2, № 17, № 17 корп.3, № 19 корп.1-3, ул. Сенная д.12 корп.2, корп.3, ул. Соборная д.50 корп.1","Многоквартирные дома","Незаконные перепланировки, пристройки","Управление капитального строительства"
"313","По адресу город Рязань улица Новоселов, протяжённостью от дома Шереметьевская дом 6 до дома Шереметьевская дом 6 корп. 2 отсутствует освещение улицы. Координаты улицы 54.598441, 39.833375 Прошу принять меры.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"314","Сквер Дубовая Роща перестала освещаться фонарями. Сквер на месте, фонари на месте а света нет уже более 6 месяцев.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"333","Здравствуйте. С ул. Новоселовской дом 8 до 4 проезд Добролюбова дом 1 стоят знаки движение грузовым автомобилям запрещено. Вопреки этому ездят.","Дороги","Повреждение или отсутствие дорожных знаков или дорожной разметки","Управление благоустройства города"
"338","Ул. Николодворянская, где находится наш цирк, на крутом склоне не обрезали деревья, опасные для здоровья людей прохожих.
И ещё адрес  во дворе падают деревья их никто не отпиливает.","Дворовая территория","Ненадлежащий уход за зелеными насаждениями","Управление благоустройства города"
"344","У меня такой вопрос: у меня мама инвалид 1 группы. У нее стоит назогастральный зонд, его надо иногда менять, с ним возникают проблемы. Помогите пожалуйста.
","Здравоохранение, поликлиники","Некачественное оказание медицинской помощи","Министерство здравоохранения  Рязанской области"
"351","Здравствуйте. Рядом с нашей школой, 2 гимназией есть пустырь. Можно ли построить там бассейн? Спасибо. .","Городская территория","Планировка территорий","Управление градостроительства и архитектуры"
"353","Ул. Татарска дом 7 корпус 3. Неоднократно обращались в управление по благоустройству по поводу дорожного покрытия во дворе. пройти на машине проехать невозможно.","Дворовая территория","Проблемы свободного проезда и прохода для транспорта и пешеходов","Управление благоустройства города"
"357","Добрый вечер! С 5 августа 2018 года на дворовой территории не работают светильники уличного освещения. С 8 августа были поданы не однократно заявки в Управление благоустройства города. Проблема не решена до сих пор...","Многоквартирные дома","Предоставление коммунальных услуг ненадлежащего качества","Управление энергетики и жилищно-коммунального хозяйства"
"359","мне интересно когда на улице Великанова Московского района появится освещение? Невозможно ходить , приходится светить себе фонарем.Фонари поменяли где-то 2 года назад но это сделали для отмывания денег, свою функцию они не выполняют пожалуйста примите меры. .","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"365","я инвалид 2 группы. в поиске работы. Работал дворником на заводе Поликонд. Меня попросили написать заявление по собственному желанию. Сказали, что я не подхожу.  Сейчас я работаю сторожем в первой музыкальной школе. У меня высшее образование, я закончил РГРТУ.","Трудоустройство","Нарушение прав граждан с ограниченными возможностями при трудоустройстве","Министерство труда и социальной защиты населения Рязанской области"
"366","Хотелось бы больше футбольных площадок в городе","Физическая культура и спорт","Доступность для жителей занятиями физической культурой и спортом","Управление по физической культуре и массовому спорту"
"370","От жильцов дома по улица Шевченко дом 11. Вошли  в программу благоустройства двора, предложили увеличить дорогу, с одной стороны на 3 м, со стороны газона на 1,5 метра, все заасфальтировать, убрать деревья, которые отлично там росли. С одной стороны у нас детский садик.  Мжет быть пока временно хотя бы приостановить это дело. .","Дворовая территория","Ямы и выбоины во дворах","Управление энергетики и жилищно-коммунального хозяйства"
"377","По поводу школ, считаю неприемлемым, что у детей 2 класс сделали вторую смену, нет продленки","Образование (школы, детские сады)","Качество предоставления общеобразовательных услуг","Управление образования и молодежной политики"
"404","Прошу отремонтировать улицу Черновицкую.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"411","Касимовское шоссе, 57 корпус 2, сделайте пожалуйста дорогу","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"412","Добрый день. Подскажите пожалуйста, а почему сокращаются часы занятий у детей и с чем это связано? Просто так как сокращается обучение в школе, детям потом сложно поступить в университет с такими знаниями и становятся обязательными занятия с репетиторами.","Образование (школы, детские сады)","Качество предоставления общеобразовательных услуг","Министерство образования и молодежной политики Рязанской области"
"421","Ну обращение довольно простое. волнует вопрос ремонта асфальтового покрытия помимо основных трасс в городе Рязань, это улица например Чкалова, Шевченко, 4 Линия, 6 Линия.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"422","Волнует вопрос асфальтового покрытия по ул. Новоселов.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"427","Здравствуйте. Я бы хотел задать такой вопрос. Когда сделают дороги во дворах, возле Театральной? Спасибо.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"435","Обращается к вам пенсионерка. В 2016 году наш дом признан аварийным с дальнейшим расселением. Инвестором стал ЖЭУ 21, в лице , который якобы выиграл торги по застройке нашей территории. Придомовая земля нами приватизирована, ее администрация Рязани отдала в аренду в ЖЭУ 21 с условием, что жильцов нашего дома расселят с улучшением жилищных условий, согласно адресной программы развития застроенных территорий Рязани, но предложил выкупную цену 35000 рублей за квадратный метр, включая землю.","Права дольщиков и вопросы переселения","Переселение из аварийного жилищного фонда","Управление капитального строительства"
"437","Когда именно можно ожидать транспорт по ул. Семчинская и на ул. Княжье Поле?","Остановки общественного транспорта","Некачественное содержание остановок общественного транспорта","Управление благоустройства города"
"438","1. Под моей квартирой, в квартире на первом этаже собственник перевел свою квартиру в нежилое помещение и самовольно выкопал под ней подвал. В результате в моей квартире в стене образовалась трещина. Прошу проверить законность переоборудования помещения на первом этаже.
2. Так же, в результате того, что собственник сдал свое помещение в аренду, под моим окном образовалась несанкционированная парковка на зеленой зоне и тротуаре.
Ответ прошу направить по почте.","Дворовая территория","Незаконные перепланировки, пристройки","Госжилинспекция; Управление капитального строительства"
"440","Огромное спасибо за парк, который сейчас организовали, но рядом с парком огромная куча мусора, который якобы убрали, но она так до конца и не убрана. Не знаем, что делать с этой свалкой, которая теперь рядом с детской площадкой и этим парком. Пожалуйста помогите!","Городская территория","Неубранная территория (мусор/снег)","Управление благоустройства города"
"447","Старожиловский район, село Чернобаево. У нас в колхозе директор квартиры сделал по 150 рублей за квадратный метр. Мы не можем себе такого позволить. Просьба к вам, чтобы нам помогли.","Социальная защита","Предоставление социальных выплат на строительство (приобретение) жилья гражданам и молодым специалистам в сельской местности","Министерство сельского хозяйства и продовольствия Рязанской области"
"482","Я Тамара Михайловна. Вопрос по поводу РЖД. Когда-нибудь будут нормальные перроны сделаны, чтобы залезать в вагоны не скрывая пупки и спины? Спасибо! И ещё вопрос. Почему только в Москве пенсионеры ездят бесплатно? Сестра из Москвы в Рязань может приехать ко мне бесплатно, я в Рязань не могу доехать. Дискриминация по месту проживания.","Общественный транспорт","Жалобы на работу автовокзалов, автостанций и ж/д вокзалов","Министерство транспорта и автомобильных дорог Рязанской области"
"491","Мы первый раз в вашем городе. Скажите пожалуйста, почему в вашем городе так не убрано на улицах и фасады зданий такие неухоженные? Именно в историческом центре вашего города.","Городская территория","Неубранная территория (мусор/снег)","Управление благоустройства города"
"494","Мне 82 года, я инвалид второй группы, на пенсии уже давно. Я пришёл оформлять документы в отношении капитального ремонта. Прошу дать мне квалифицированный ответ на то, что у нас творится беспредел в отношении оформления вот этих документов всех, которые пенсионер должен оформлять.","Многофункциональные центры (МФЦ)","Качество предоставления государственных (муниципальных) услуг в МФЦ","Министерство промышленности и экономического развития Рязанской области"
"496","Дому 60 лет в этом году. В плачевном состоянии находится не только канализация, но и система ХВС. Неоднократно обращались в управляющую компанию ""Роща - 1"". Как видите, никаких результатов.","Многоквартирные дома","Неисправность работы канализации","Управление энергетики и жилищно-коммунального хозяйства"
"557","Здравствуйте! У меня вопрос следующий. Когда у нас в каждой школе появится нормальный интернет для того чтобы заработали все приложения электронной школы? Спасибо.","Образование (школы, детские сады)","Уровень материально-технического обеспечения общеобразовательных организаций","Управление образования и молодежной политики"
"571","Железнодорожный район, Дашки военные. У нас ходят 62 и 77 маршрутки. Утром, когда едешь на работу, невозможно влезть в маршрутку. Пожалуйста, примите меры, потому что людям с группой инвалидности тяжело добираться до работы, они возмущены до глубины души.","Общественный транспорт","Качество обслуживания на общественном транспорте","Управление транспорта"
"644","Здравствуйте, ! Обращается к вам многодетная мама. Мы попали к вам на прямую линию, звонили по поводу жилья. Семья , семеро детей. Никаких сдвигов нет. То что предлагают, там невозможно жить с детьми. Помогите нам пожалуйста решить жилищный вопрос. Спасибо!","Социальная защита","Постановка на учет и восстановление в очереди на получение жилья","Управление энергетики и жилищно-коммунального хозяйства"
"682","Перекресток улиц Горького и Циолковского. По улице Горького перед светофором два ряда в одну сторону, за перекрестком один ряд. Приходится вклиниваться, это очень тяжело, это издевательство над водителями.","Дороги","Повреждение или отсутствие дорожных знаков или дорожной разметки","Управление благоустройства города"
"753","Я пенсионер. Можно ли как-то убрать все песни за долги по жкх? По остальным суммам я бы заключила договора и по частям оплачивала. Главное, чтобы убрали все пени.","Многоквартирные дома","Оплата жилищно-коммунальных услуг","Управление энергетики и жилищно-коммунального хозяйства"
"755","Я 3 года бьюсь над тем чтобы построить парк Боевой славы. Парк посвященный 41-45 годам, воинам-авганцам, чернобыльцам. Везде ответы - хорошая идея, но ни у кого денег нет. В том числе в администрацию президента было на ваш адрес письмо. От вас это письмо было передано городу. Город ответил, что до 20 года денег нет.","Культура","Сохранение объектов культурного наследия Рязанской области","Управление культуры"
"765","Меня зовут , я мама двоих детей. Старшему 6 лет, я вожу его в музыкальную школу на улице Ленина. Раньше машину можно было оставлять на улице Полонского, теперь там появилась зона платной парковки. Получается, что теперь я должна платить по 800 рублей ежемесячно только за платную парковку, т.к. вожу ребенка 5 дней в неделю на занятия. Такая же ситуация с дворцом детского творчества, который окружен зонами платной парковки. Получается что я должна заплатить уже более полутора тысяч только за парковку. Скажите пожалуйста, неужели эти зоны устанавливаются без контрольно? То есть скоро они появятся у церквей, у школ, у садов, у библиотек, у парков? Наведите пожалуйста порядок с зонами платной парковки.","Парковки","Вопросы платных парковок","Управление транспорта"
"775","Будут ли восстанавливать в селе Костино усадьбу графа Никитинского?","Культура","Сохранение объектов культурного наследия Рязанской области","Государственная инспекция по охране объектов культурного наследия Рязанской области"
"797","Улица Загородная, дом 1. В нашем доме кровля разрушена, Фактурный слой местами очень значительно, вываливаются куски и видна арматура. Мы не однократно обращались в 16 году с коллективным обращением о переносе сроков капремонта. Он по плану стоит на 30 год. Сейчас, чтобы перенести сроки капремонта, необходимо составить независимую экспертизу, она стоит очень дорого. Денег нет. И что ж нам теперь ждать, когда кровля обрушится? К чему создавать такие барьеры?","Многоквартирные дома","Выполнение работ по капитальному ремонту","Фонд капитального ремонта многоквартирных домов Рязанской области"
"798","Когда будет обращено внимание на маленькие улицы, такие как например, улица Загородная? Дорога от поворота с ул. Восточной до нашей остановки ни разу не ремонтировалась. Когда обратите на это внимание?","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"834","ул. Советской армии, 7. Дом обслуживает ЖЭУ 17. У меня получился долг по содержанию жилья. В ЖЭУ 17 мне сказали, что это за лифт. У нас не было лифта, его включили в конце 16 года и по июль 18 года были начисления за лифт. Но я живу на втором этаже, я писала заявление ещё раньше. 1, 2 этажи, насколько я знаю, не оплачивают лифт. Сказали, что есть какое-то постановление, по которому мы теперь должны оплачивать лифт и поэтому говорят, что я должна оплатить долг. Решите, пожалуйста, этот вопрос.","Многоквартирные дома","Оплата жилищно-коммунальных услуг","Управление энергетики и жилищно-коммунального хозяйства"
"835","Можно ли сделать нормальную дорогу к дому по улице Советской армии, д.7. Невозможно подъехать к дому, машины садятся и застревают.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
